MODIFIED_ZCTA,zipcode,Apr-Positive,Apr-Total Tests,Apr-Percent Positive,Apr-Increase of Pos,Apr-Rate of Increase,May-Positive,May-Total Tests,May-Percent Positive,May-Increase of Pos,May-Rate of Increase,Jun-Positive,Jun-Total Tests,Jun-Percent Positive,Jun-Increase of Pos,Jun-Rate of Increase,Jul-Positive,Jul-Total Tests,Jul-Percent Positive,Jul-Increase of Pos,Jul-Rate of Increase,Aug-Positive,Aug-Total Tests,Aug-Percent Positive,Aug-Increase of Pos,Aug-Rate of Increase,Sep-Positive,Sep-Total Tests,Sep-Percent Positive,Sep-Increase of Pos,Sep-Rate of Increase,Oct-Positive,Oct-Total Tests,Oct-Percent Positive,Oct-Increase of Pos,Oct-Rate of Increase,Nov-Positive,Nov-Total Tests,Nov-Percent Positive,Nov-Increase of Pos,Nov-Rate of Increase
10037,10037,267,456,58.55,,,503,1838,27.37,236,0.8838951310861424,550,3054,18.01,47,0.09343936381709742,551,3997,13.79,1,0.0018181818181818182,570,5272,10.81,19,0.034482758620689655,598,5964,10.03,28,0.04912280701754386,617,6962,8.86,19,0.03177257525083612,641,7859,7.75,24,0.03889789303079417
10038,10038,160,321,49.84,,,231,829,27.86,71,0.44375,256,1973,12.98,25,0.10822510822510822,263,3018,8.71,7,0.02734375,288,4524,6.37,25,0.09505703422053231,318,5934,5.36,30,0.10416666666666667,352,7726,4.56,34,0.1069182389937107,402,9001,4.29,50,0.14204545454545456
10039,10039,298,537,55.49,,,470,1467,32.04,172,0.5771812080536913,527,2684,19.63,57,0.12127659574468085,561,3746,14.98,34,0.06451612903225806,606,5499,11.02,45,0.08021390374331551,623,6482,9.61,17,0.028052805280528052,649,7651,8.48,26,0.04173354735152488,696,8659,7.75,47,0.0724191063174114
10040,10040,555,864,64.24,,,1046,2897,36.11,491,0.8846846846846846,1142,5330,21.43,96,0.09177820267686425,1199,7513,15.96,57,0.049912434325744305,1267,10357,12.23,68,0.0567139282735613,1327,12769,10.39,60,0.0473559589581689,1391,15115,9.2,64,0.04822908816880181,1518,17029,8.98,127,0.09130122214234364
10044,10044,100,216,46.3,,,214,607,35.26,114,1.14,240,1306,18.38,26,0.12149532710280374,247,1957,12.62,7,0.029166666666666667,258,2544,10.14,11,0.044534412955465584,262,3219,8.14,4,0.015503875968992248,268,3782,7.09,6,0.022900763358778626,289,4338,6.62,21,0.07835820895522388
10065,10065,230,667,34.48,,,315,1542,20.43,85,0.3695652173913043,335,3670,9.13,20,0.06349206349206349,336,5585,6.02,1,0.0029850746268656717,355,7718,4.6,19,0.05654761904761905,376,9690,3.88,21,0.059154929577464786,410,12086,3.39,34,0.09042553191489362,482,13835,3.62,72,0.17560975609756097
10069,10069,38,100,38.0,,,50,227,22.03,12,0.3157894736842105,57,596,9.56,7,0.14,62,971,6.39,5,0.08771929824561403,68,1384,4.91,6,0.0967741935483871,73,2083,3.5,5,0.07352941176470588,78,2668,2.92,5,0.0684931506849315,99,3187,3.36,21,0.2692307692307692
10075,10075,287,604,47.52,,,361,1376,26.24,74,0.2578397212543554,448,3147,14.24,87,0.2409972299168975,434,4787,9.07,-14,-0.03125,443,6615,6.7,9,0.020737327188940093,460,8169,5.63,17,0.03837471783295711,489,10049,4.87,29,0.06304347826086956,552,11533,4.67,63,0.12883435582822086
10128,10128,453,1167,38.82,,,601,2787,21.56,148,0.32671081677704195,641,6435,9.96,40,0.06655574043261231,679,10159,6.68,38,0.059282371294851796,711,14214,5.0,32,0.047128129602356406,741,18229,4.06,30,0.04219409282700422,780,22577,3.45,39,0.05263157894736842,907,26089,3.45,127,0.16282051282051282
10280,10280,31,88,35.23,,,43,243,17.7,12,0.3870967741935484,55,648,8.49,12,0.27906976744186046,61,1027,5.94,6,0.10909090909090909,64,1466,4.37,3,0.04918032786885246,64,2049,3.12,0,0.0,69,2614,2.64,5,0.078125,76,3047,2.72,7,0.10144927536231885
10282,10282,51,106,48.11,,,68,226,30.09,17,0.3333333333333333,71,461,15.4,3,0.04411764705882353,78,702,11.11,7,0.09859154929577464,84,993,8.46,6,0.07692307692307693,86,1309,6.57,2,0.023809523809523808,87,1637,5.31,1,0.011627906976744186,92,2033,4.28,5,0.05747126436781609
10301,10301,678,1256,53.98,,,1091,2988,36.51,413,0.6091445427728613,1218,5294,23.01,127,0.11640696608615948,1262,7052,17.9,44,0.0361247947454844,1307,9051,14.44,45,0.03565768621236133,1356,10902,12.44,49,0.03749043611323642,1429,13088,10.92,73,0.05383480825958702,1603,15192,10.45,174,0.12176347095871239
10302,10302,360,680,52.94,,,607,1499,40.49,247,0.6861111111111111,639,2308,27.69,32,0.05271828665568369,652,2944,22.15,13,0.02034428794992175,684,3792,18.04,32,0.049079754601226995,697,4612,15.11,13,0.019005847953216373,729,5482,13.3,32,0.04591104734576758,806,6519,12.24,77,0.1056241426611797
10303,10303,533,959,55.58,,,809,2109,38.36,276,0.5178236397748592,882,3437,25.66,73,0.09023485784919653,916,4509,20.31,34,0.03854875283446712,942,5847,16.11,26,0.028384279475982533,957,6791,14.09,15,0.01592356687898089,992,8021,12.37,35,0.03657262277951933,1087,9295,11.55,95,0.09576612903225806
10304,10304,851,1653,51.48,,,1315,3612,36.41,464,0.54524089306698,1405,5820,24.14,90,0.06844106463878327,1433,7650,18.73,28,0.0199288256227758,1510,9846,15.34,77,0.05373342637822749,1566,11787,13.29,56,0.03708609271523179,1644,14059,11.69,78,0.04980842911877394,1818,16422,10.89,174,0.10583941605839416
10305,10305,753,1619,46.51,,,1173,3456,33.94,420,0.5577689243027888,1257,5343,23.53,84,0.07161125319693094,1302,7016,18.56,45,0.03579952267303103,1363,8907,15.3,61,0.04685099846390169,1399,10431,13.41,36,0.02641232575201761,1497,12707,11.78,98,0.07005003573981415,1707,15014,11.11,210,0.1402805611222445
10306,10306,954,2144,44.5,,,1390,4481,31.02,436,0.4570230607966457,1465,6923,21.16,75,0.0539568345323741,1511,9093,16.62,46,0.031399317406143344,1570,11740,13.37,59,0.039046988749172735,1624,14322,11.34,54,0.034394904458598725,1747,17430,10.02,123,0.07573891625615764,2033,20494,9.87,286,0.16370921579851175
10307,10307,257,555,46.31,,,362,1141,31.73,105,0.4085603112840467,380,1607,23.65,18,0.049723756906077346,401,2193,18.29,21,0.05526315789473684,416,2832,14.69,15,0.03740648379052369,429,3398,12.63,13,0.03125,466,4168,11.18,37,0.08624708624708624,544,5034,10.61,78,0.16738197424892703
10308,10308,459,1074,42.74,,,610,2066,29.53,151,0.3289760348583878,639,3004,21.27,29,0.047540983606557376,675,4027,16.76,36,0.056338028169014086,701,5297,13.23,26,0.03851851851851852,737,6593,11.18,36,0.05135520684736091,801,8129,9.85,64,0.08683853459972862,931,9816,9.67,130,0.16229712858926343
10309,10309,617,1386,44.52,,,808,2585,31.26,191,0.3095623987034036,844,3815,22.12,36,0.04455445544554455,874,5107,17.11,30,0.035545023696682464,912,6620,13.78,38,0.043478260869565216,955,8021,11.91,43,0.047149122807017545,1017,9720,10.46,62,0.06492146596858639,1161,11573,9.93,144,0.1415929203539823
10310,10310,425,899,47.27,,,694,2050,33.85,269,0.6329411764705882,719,3274,21.96,25,0.03602305475504323,731,4253,17.19,12,0.016689847009735744,755,5417,13.94,24,0.03283173734610123,791,6478,12.21,36,0.04768211920529802,850,7720,11.01,59,0.07458912768647281,938,9063,10.13,88,0.10352941176470588
10312,10312,1082,2276,47.54,,,1437,4496,31.96,355,0.32809611829944546,1504,6759,22.25,67,0.04662491301322199,1585,9088,17.44,81,0.0538563829787234,1665,11960,13.92,80,0.050473186119873815,1720,14586,11.79,55,0.03303303303303303,1847,17705,10.43,127,0.07383720930232558,2129,21141,9.85,282,0.15268002165674066
10314,10314,1717,3546,48.42,,,2529,7277,34.75,812,0.47291788002329643,2675,11444,23.37,146,0.057730328192961644,2763,15152,18.24,88,0.03289719626168224,2872,19534,14.7,109,0.03944987332609482,2984,23616,12.64,112,0.03899721448467967,3169,28253,11.22,185,0.06199731903485255,3585,33027,10.7,416,0.13127169454086463
10451,10451,887,1467,60.46,,,1514,3867,39.15,627,0.7068771138669673,1623,6538,24.82,109,0.07199471598414796,1650,9010,18.31,27,0.0166358595194085,1725,11998,14.38,75,0.045454545454545456,1781,14036,12.69,56,0.03246376811594203,1857,16385,11.33,76,0.04267265581134194,1963,18510,10.39,106,0.05708131394722671
10452,10452,1195,1826,65.44,,,2177,5493,39.63,982,0.8217573221757322,2452,9736,25.18,275,0.12632062471290767,2586,13325,19.41,134,0.05464926590538336,2717,18193,14.93,131,0.05065738592420727,2847,21118,13.48,130,0.04784688995215311,2983,24470,12.19,136,0.04776958201615736,3214,27705,11.19,231,0.07743881997988603
10453,10453,1261,2013,62.64,,,2199,5437,40.45,938,0.7438540840602696,2403,9156,26.25,204,0.0927694406548431,2555,12463,20.5,152,0.06325426550145652,2690,16843,15.97,135,0.05283757338551859,2791,20174,13.83,101,0.03754646840148699,2922,23669,12.35,131,0.04693658187029739,3152,26848,11.57,230,0.07871321013004791
10454,10454,616,971,63.44,,,1061,2997,35.4,445,0.7224025974025974,1150,4960,23.19,89,0.08388312912346843,1214,6765,17.95,64,0.05565217391304348,1271,8725,14.57,57,0.04695222405271829,1302,9973,13.06,31,0.024390243902439025,1323,11710,11.3,21,0.016129032258064516,1435,13648,10.15,112,0.08465608465608465
10455,10455,652,1035,63.0,,,1184,3014,39.28,532,0.8159509202453987,1284,5013,25.61,100,0.08445945945945946,1382,7086,19.5,98,0.0763239875389408,1456,9555,15.24,74,0.053545586107091175,1498,11214,13.36,42,0.028846153846153848,1546,13041,11.85,48,0.03204272363150868,1656,14959,11.14,110,0.07115135834411385
10456,10456,1295,2097,61.75,,,2320,6216,37.32,1025,0.7915057915057915,2544,10642,23.91,224,0.09655172413793103,2701,15096,17.89,157,0.06171383647798742,2827,20144,14.03,126,0.04664938911514254,2922,23543,12.41,95,0.03360452776795189,3015,27622,10.92,93,0.03182751540041068,3197,31219,9.97,182,0.06036484245439469
10457,10457,1092,1749,62.44,,,1933,5031,38.42,841,0.7701465201465202,2135,8858,24.1,202,0.10450077599586136,2324,12654,18.37,189,0.08852459016393442,2463,17382,14.17,139,0.05981067125645439,2545,19780,12.87,82,0.03329273244011368,2628,22871,11.49,83,0.03261296660117878,2824,25926,10.59,196,0.0745814307458143
10458,10458,1083,1856,58.35,,,1901,4999,38.03,818,0.7553093259464451,2085,8554,24.37,184,0.0967911625460284,2241,11848,18.91,156,0.07482014388489208,2398,16100,14.89,157,0.07005800981704596,2463,19326,12.74,65,0.027105921601334446,2588,23191,11.16,125,0.05075111652456354,2857,26438,10.41,269,0.10394126738794436
10459,10459,824,1326,62.14,,,1407,3377,41.66,583,0.7075242718446602,1506,5729,26.29,99,0.07036247334754797,1598,8158,19.59,92,0.06108897742363878,1661,11250,14.76,63,0.039424280350438046,1723,13547,12.72,62,0.03732691149909693,1793,15960,11.23,70,0.04062681369704005,1957,18288,10.47,164,0.09146681539319576
10460,10460,875,1464,59.77,,,1543,3870,39.87,668,0.7634285714285715,1672,6579,25.41,129,0.08360337005832794,1774,9156,19.38,102,0.061004784688995214,1878,12346,15.21,104,0.058624577226606536,1928,14741,13.08,50,0.026624068157614485,2002,17274,11.59,74,0.038381742738589214,2139,19709,10.79,137,0.06843156843156843
10461,10461,1107,2058,53.79,,,1797,5007,35.89,690,0.6233062330623306,1907,7727,24.68,110,0.06121313299944352,1920,10001,19.2,13,0.0068169900367068695,1966,12679,15.51,46,0.023958333333333335,2025,15010,13.49,59,0.030010172939979655,2095,17429,12.02,70,0.0345679012345679,2223,19970,10.95,128,0.06109785202863962
10462,10462,1308,2347,55.73,,,2149,5775,37.21,841,0.6429663608562691,2295,9777,23.47,146,0.06793857608189856,2376,13069,18.18,81,0.03529411764705882,2476,17404,14.23,100,0.04208754208754209,2571,20375,12.62,95,0.03836833602584814,2700,23822,11.33,129,0.050175029171528586,2904,27250,10.33,204,0.07555555555555556
10463,10463,1021,2056,49.66,,,1794,5115,35.07,773,0.7571008814887366,2063,10174,20.28,269,0.14994425863991082,2156,13631,15.82,93,0.04507998061076103,2245,17889,12.55,89,0.041280148423005564,2327,21335,10.91,82,0.03652561247216036,2418,24910,9.71,91,0.03910614525139665,2570,28047,8.86,152,0.06286186931348221
10464,10464,80,206,38.83,,,116,430,26.98,36,0.45,120,651,18.43,4,0.034482758620689655,129,868,14.86,9,0.075,135,1138,11.86,6,0.046511627906976744,136,1220,11.15,1,0.007407407407407408,142,1450,9.79,6,0.04411764705882353,142,1644,7.97,0,0.0
10465,10465,941,1944,48.41,,,1435,4342,33.05,494,0.5249734325185972,1503,6435,23.36,68,0.047386759581881537,1555,8242,18.87,52,0.034597471723220224,1586,10498,15.11,31,0.019935691318327974,1630,12428,13.12,44,0.027742749054224466,1708,14617,11.69,78,0.04785276073619632,1830,16670,10.68,122,0.07142857142857142
10466,10466,1393,2339,59.56,,,2218,5383,41.2,825,0.5922469490308686,2432,8921,27.26,214,0.09648331830477908,2526,11607,21.76,94,0.038651315789473686,2600,15208,17.1,74,0.02929532858273951,2662,17831,14.93,62,0.023846153846153847,2714,20680,13.12,52,0.019534184823441023,2835,23679,11.68,121,0.04458364038319823
10467,10467,1972,3222,61.2,,,3134,7613,41.17,1162,0.5892494929006086,3449,12955,26.62,315,0.10051052967453733,3631,17641,20.58,182,0.052768918527109306,3802,23847,15.94,171,0.04709446433489397,3893,28517,13.65,91,0.023934771173066808,4022,33239,12.1,129,0.0331363986642692,4273,38014,11.14,251,0.06240676280457484
10468,10468,1381,2083,66.3,,,2534,6113,41.45,1153,0.834902244750181,2802,11550,24.26,268,0.10576164167324388,2949,15149,19.47,147,0.05246252676659529,3096,19469,15.9,147,0.04984740590030519,3186,22735,14.01,90,0.029069767441860465,3319,25900,12.81,133,0.04174513496547395,3516,28954,11.97,197,0.059355227478156074
10469,10469,1724,2772,62.19,,,2813,6701,41.98,1089,0.6316705336426914,3050,11374,26.82,237,0.08425168858869535,3157,14650,21.55,107,0.035081967213114754,3226,18274,17.65,69,0.021856192587899906,3279,21298,15.4,53,0.01642901425914445,3357,24376,13.77,78,0.023787740164684355,3493,27333,12.5,136,0.04051236222817992
10470,10470,284,518,54.83,,,426,1301,32.74,142,0.5,456,2053,22.21,30,0.07042253521126761,471,2597,18.14,15,0.03289473684210526,487,3276,14.87,16,0.03397027600849257,504,3684,13.68,17,0.03490759753593429,518,4371,11.85,14,0.027777777777777776,549,5092,10.78,31,0.059845559845559844
10471,10471,326,735,44.35,,,755,2821,26.76,429,1.3159509202453987,809,4216,19.19,54,0.07152317880794702,836,5338,15.66,27,0.03337453646477132,857,6561,13.06,21,0.025119617224880382,878,8059,10.89,21,0.024504084014002333,903,9502,9.5,25,0.02847380410022779,954,10865,8.86,51,0.05647840531561462
10472,10472,1035,1606,64.45,,,1821,4181,43.55,786,0.7594202898550725,1999,7201,27.76,178,0.09774848984074684,2120,9724,21.8,121,0.060530265132566284,2205,12800,17.23,85,0.04009433962264151,2267,15930,14.23,62,0.028117913832199547,2358,18633,12.65,91,0.04014115571239524,2513,21537,11.43,155,0.06573367260390162
10473,10473,1170,1982,59.03,,,1812,4678,38.73,642,0.5487179487179488,1957,8084,24.21,145,0.08002207505518764,2046,10602,19.3,89,0.045477772100153295,2143,13657,15.69,97,0.04740957966764418,2197,16321,13.46,54,0.025198320111992533,2288,18913,12.1,91,0.04142011834319527,2469,21548,11.33,181,0.07910839160839161
