,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
81,10024,1.0,2018-07,3050.0,2018-07-01,7,3,2018,2018-06-01,3100.0,1309.0,1305.0
82,10024,2.0,2018-07,4400.0,2018-07-01,7,3,2018,2018-06-01,4500.0,792.0,763.0
83,10024,3.0,2018-07,6000.0,2018-07-01,7,3,2018,2018-06-01,6963.0,477.0,446.0
84,10025,0.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2295.0,598.0,583.0
85,10025,1.0,2018-07,3050.0,2018-07-01,7,3,2018,2018-06-01,3100.0,1309.0,1305.0
86,10025,2.0,2018-07,4400.0,2018-07-01,7,3,2018,2018-06-01,4500.0,792.0,763.0
87,10025,3.0,2018-07,6000.0,2018-07-01,7,3,2018,2018-06-01,6963.0,477.0,446.0
88,10026,0.0,2018-07,1775.0,2018-07-01,7,3,2018,2018-06-01,1795.0,114.0,127.0
89,10026,1.0,2018-07,2275.0,2018-07-01,7,3,2018,2018-06-01,2200.0,319.0,346.0
90,10026,2.0,2018-07,2750.0,2018-07-01,7,3,2018,2018-06-01,2795.0,404.0,370.0
91,10026,3.0,2018-07,3610.0,2018-07-01,7,3,2018,2018-06-01,3650.0,216.0,199.0
92,10027,0.0,2018-07,1775.0,2018-07-01,7,3,2018,2018-06-01,1795.0,114.0,127.0
93,10027,1.0,2018-07,2275.0,2018-07-01,7,3,2018,2018-06-01,2200.0,319.0,346.0
94,10027,2.0,2018-07,2750.0,2018-07-01,7,3,2018,2018-06-01,2795.0,404.0,370.0
95,10027,3.0,2018-07,3610.0,2018-07-01,7,3,2018,2018-06-01,3650.0,216.0,199.0
96,10028,0.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,802.0,800.0
97,10028,1.0,2018-07,2795.0,2018-07-01,7,3,2018,2018-06-01,2800.0,1354.0,1405.0
98,10028,2.0,2018-07,3497.0,2018-07-01,7,3,2018,2018-06-01,3400.0,946.0,900.0
99,10028,3.0,2018-07,6800.0,2018-07-01,7,3,2018,2018-06-01,7375.0,463.0,444.0
100,10029,0.0,2018-07,1738.0,2018-07-01,7,3,2018,2018-06-01,1725.0,48.0,46.0
101,10029,1.0,2018-07,2010.0,2018-07-01,7,3,2018,2018-06-01,2050.0,184.0,173.0
102,10029,2.0,2018-07,2495.0,2018-07-01,7,3,2018,2018-06-01,2495.0,200.0,179.0
103,10029,3.0,2018-07,3175.0,2018-07-01,7,3,2018,2018-06-01,3200.0,79.0,71.0
104,10030,0.0,2018-07,1775.0,2018-07-01,7,3,2018,2018-06-01,1795.0,114.0,127.0
105,10030,1.0,2018-07,2275.0,2018-07-01,7,3,2018,2018-06-01,2200.0,319.0,346.0
106,10030,2.0,2018-07,2750.0,2018-07-01,7,3,2018,2018-06-01,2795.0,404.0,370.0
107,10030,3.0,2018-07,3610.0,2018-07-01,7,3,2018,2018-06-01,3650.0,216.0,199.0
108,10031,0.0,2018-07,1713.0,2018-07-01,7,3,2018,2018-06-01,1725.0,38.0,27.0
109,10031,1.0,2018-07,1900.0,2018-07-01,7,3,2018,2018-06-01,1900.0,107.0,108.0
110,10031,2.0,2018-07,2500.0,2018-07-01,7,3,2018,2018-06-01,2500.0,138.0,122.0
111,10031,3.0,2018-07,3300.0,2018-07-01,7,3,2018,2018-06-01,3413.0,148.0,100.0
112,10032,0.0,2018-07,1650.0,2018-07-01,7,3,2018,2018-06-01,1673.0,68.0,70.0
