,zip_code_tabulation_area_(5-digit),sex_by_age__total_population_total,sex_by_age_total_population_total_male,sex_by_age_total_population_total_female,"sex_by_age_(white_alone,_not_hispanic_or_latino)__white_alone,_not_hispanic_or_latino_population_total",sex_by_age_(hispanic_or_latino)__hispanic_or_latino_population_total,race__total_population_total,race_total_population_total_white_alone,race_total_population_total_black_or_african_american_alone,race_total_population_total_asian_alone,sex_of_workers_by_means_of_transportation_to_work__workers_16_years_and_over_total,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_car_truck_or_van,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab),sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab)_subway_or_elevated,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_bicycle,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_walked,aggregate_travel_time_to_work_(in_minutes)_of_workers_by_sex__workers_16_years_and_over_who_did_not_work_at_home_aggregate_travel_time_to_work_(in_minutes),household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)__households_total,employment_status_for_the_population_16_years_and_over_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed,housing_units__housing_units_total,median_gross_rent_by_bedrooms_renter-occupied_housing_units_paying_cash_rent_median_gross_rent_total,median_year_structure_built__housing_units_median_year_structure_built,lower_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_lower_contract_rent_quartile,median_contract_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_contract_rent,upper_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_upper_contract_rent_quartile,contract_rent_renter-occupied_housing_units_total_with_cash_rent,median_gross_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent,median_gross_rent_as_a_percentage_of_household_income_in_the_past_12_months_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent_as_a_percentage_of_household_income,lower_value_quartile_(dollars)__owner-occupied_housing_units_lower_value_quartile_(dollars),median_value_(dollars)__owner-occupied_housing_units_median_value_(dollars),upper_value_quartile_(dollars)__owner-occupied_housing_units_upper_value_quartile_(dollars),median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_total,median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_renter_occupied_(dollars),tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.50_or_less_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.51_to_1.00_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.01_to_1.50_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.51_to_2.00_occupants_per_room,tenure_occupied_housing_units_total_renter_occupied
147,10560.0,4825,2327,2498,3925.0,374.0,4825,4178,201,79,2338.0,1771.0,195.0,16.0,0.0,44.0,35.67255768286696,1727.0,0.05562130177514793,2070,1637.0,1966.0,1180.0,1462.0,1896.0,336,1637.0,42.5,410100.0,580400.0,834400.0,134076.0,52016.0,235,67,46,0,0.2015055008685582
148,10562.0,31772,16032,15740,13240.0,12168.0,31772,17138,4830,1404,15656.0,11552.0,1912.0,43.0,0.0,1020.0,32.249813925164084,10900.0,0.04597156398104266,11710,1557.0,1960.0,1104.0,1421.0,1802.0,4213,1557.0,34.2,317300.0,399400.0,497700.0,76793.0,48145.0,1813,2239,293,14,0.4096330275229358
149,10566.0,23951,11385,12566,7843.0,9544.0,23951,9983,5047,507,11681.0,8425.0,1813.0,22.0,0.0,609.0,36.30778917071416,9598.0,0.0726853630426431,10658,1374.0,1960.0,978.0,1232.0,1653.0,4855,1374.0,41.1,218500.0,284500.0,379300.0,54332.0,36522.0,2453,2303,209,85,0.5272973536153366
150,10567.0,20563,10147,10416,13642.0,4809.0,20563,15735,1017,575,10557.0,8345.0,1413.0,47.0,32.0,29.0,42.10732984293194,6812.0,0.037933462418588276,7198,1955.0,1965.0,1272.0,1717.0,2305.0,680,1955.0,41.6,326900.0,403700.0,584500.0,126907.0,68177.0,346,347,40,0,0.10760422783323546
151,10570.0,12893,6304,6589,9927.0,1603.0,12893,10403,655,429,6163.0,4365.0,1002.0,27.0,0.0,451.0,32.27896995708154,4116.0,0.05393759286775632,4409,1759.0,1956.0,1199.0,1573.0,2111.0,722,1759.0,51.0,471800.0,668100.0,899300.0,134545.0,37196.0,281,251,152,69,0.18294460641399418
152,10573.0,38861,19452,19409,15603.0,20800.0,38861,25248,1358,1107,19176.0,12873.0,3841.0,194.0,69.0,1142.0,26.778518037049075,12489.0,0.0718913768461172,13373,1556.0,1955.0,1140.0,1433.0,1840.0,5785,1556.0,33.8,367200.0,522900.0,726500.0,82150.0,55083.0,1879,3197,640,176,0.47521819200896787
153,10576.0,4891,2349,2542,4234.0,263.0,4891,4367,107,139,2386.0,1385.0,464.0,33.0,0.0,93.0,45.766666666666666,1841.0,0.03834115805946792,2220,3353.0,1970.0,0.0,3353.0,3501.0,108,3353.0,32.5,704500.0,893900.0,1199000.0,205905.0,0.0,149,21,0,0,0.09234111895708853
154,10577.0,6373,2945,3428,4289.0,844.0,6373,4667,844,327,2410.0,1121.0,375.0,33.0,0.0,610.0,24.921689606074988,825.0,0.12458249832999332,890,3501.0,1976.0,3116.0,3306.0,3495.0,82,3501.0,51.0,812100.0,1085600.0,2000001.0,202583.0,0.0,114,0,0,0,0.13818181818181818
155,10578.0,868,378,490,631.0,205.0,868,739,0,32,487.0,372.0,87.0,0.0,0.0,0.0,45.56644880174292,258.0,0.0,280,2007.0,1954.0,1466.0,1686.0,1907.0,69,2007.0,44.2,393800.0,514500.0,638800.0,110972.0,58950.0,44,25,0,0,0.26744186046511625
156,10579.0,8483,4321,4162,6967.0,1019.0,8483,7565,133,94,4396.0,3729.0,447.0,26.0,0.0,22.0,40.515194681861345,3175.0,0.04088983050847458,3815,1643.0,1960.0,1275.0,1475.0,1797.0,288,1643.0,49.7,289300.0,392500.0,503500.0,103750.0,45136.0,185,119,0,0,0.095748031496063
157,10580.0,17391,8441,8950,14363.0,1154.0,17391,15294,192,1021,7219.0,3511.0,2448.0,161.0,10.0,328.0,37.81819598068235,6058.0,0.038717246773562766,6375,2157.0,1955.0,782.0,2048.0,2780.0,1342,2157.0,22.5,764900.0,1379800.0,2000001.0,183871.0,81932.0,850,479,38,23,0.23324529547705514
158,10583.0,40013,19214,20799,29884.0,2211.0,40013,31543,636,5937,18543.0,9754.0,6694.0,493.0,41.0,222.0,41.65194712820817,13746.0,0.039910061832490164,14595,1944.0,1952.0,1289.0,1821.0,2980.0,1688,1944.0,31.2,596600.0,927800.0,1507800.0,201232.0,72222.0,1211,545,55,0,0.13283864396915465
159,10588.0,2808,1275,1533,1820.0,842.0,2808,2287,127,44,1353.0,1091.0,131.0,0.0,0.0,60.0,35.11700468018721,1163.0,0.11734693877551021,1205,1814.0,1965.0,1370.0,1645.0,2061.0,409,1814.0,24.5,299700.0,353100.0,416500.0,103516.0,92750.0,271,74,64,0,0.351676698194325
160,10589.0,8751,4047,4704,7961.0,494.0,8751,8255,173,141,3501.0,3055.0,177.0,14.0,0.0,33.0,36.03664122137405,3722.0,0.0370174510840825,4062,2610.0,1983.0,1752.0,2239.0,2784.0,344,2610.0,28.9,372800.0,467400.0,615800.0,103239.0,99489.0,323,84,0,0,0.1093498119290704
161,10590.0,7060,3566,3494,6108.0,492.0,7060,6415,215,185,3521.0,2588.0,393.0,26.0,0.0,118.0,42.50080671184253,2688.0,0.03743031590124768,2935,2035.0,1974.0,1635.0,1874.0,2324.0,231,2035.0,51.0,412200.0,559400.0,735200.0,144722.0,46719.0,198,62,0,0,0.09672619047619048
162,10591.0,23077,10868,12209,11422.0,8852.0,23077,15139,1491,980,11934.0,7566.0,2499.0,72.0,0.0,935.0,31.94960093265178,8742.0,0.05613354037267081,9158,1588.0,1955.0,1156.0,1470.0,1884.0,4101,1588.0,31.2,421900.0,595200.0,746100.0,95339.0,56940.0,2292,1676,232,60,0.4911919469229009
